NTA name,NTA code,Boro name,Total pop,65+ pop,65+ %pop,65+ poverty %pop,% Hispanic,% White,%Black,% Asian,% Other
Auburndale,QN48,Queens,20588,3982,19.3,9.9,13.6,32.8,1.1,49.9,2.6
Whitestone,QN49,Queens,31971,6978,21.8,7.4,14.5,60.7,0.4,22.2,2.2
Elmhurst-Maspeth,QN50,Queens,24234,3458,14.3,9,27,12.9,0.8,57.8,1.6
Murray Hill,QN51,Queens,50231,9834,19.6,20.3,15.8,23.7,1.7,56.8,2.1
East Flushing,QN52,Queens,25677,4731,18.4,23.7,17.8,15,1.1,64.2,1.8
Woodhaven,QN53,Queens,60572,7126,11.8,10.1,55.2,15.5,3.1,23.6,2.5
Richmond Hill,QN54,Queens,65068,7125,11,13.9,36.6,10.5,7.9,31.5,13.5
South Ozone Park,QN55,Queens,82931,10091,12.2,12.2,22.1,5.2,21,29.9,21.8
Ozone Park,QN56,Queens,24511,2748,11.2,9.9,42.5,21.5,5.3,24.9,5.8
Lindenwood-Howard Beach,QN57,Queens,29219,6420,22,9.8,22.3,67.8,1.8,5,3.0
Kew Gardens,QN60,Queens,23166,3700,16,17.5,26.2,45.9,5.1,18,4.8
Jamaica,QN61,Queens,53932,6401,11.9,18.1,35.2,3.3,15.7,34.7,11.0
Queensboro Hill,QN62,Queens,20269,2925,14.4,17.7,16.8,12.3,1.4,67.7,1.7
Woodside,QN63,Queens,43841,6896,15.7,14.9,33.8,22.6,0.8,40.4,2.3
Laurelton,QN66,Queens,26544,4659,17.6,5.8,5.7,1.2,89.7,0.7,2.7
Queensbridge-Ravenswood-Long Island City,QN68,Queens,19228,2184,11.4,36.2,34.5,15.5,25,21,4.0
Astoria,QN70,Queens,74767,9731,13,16.7,26.4,50.3,3.6,16.7,3.0
Old Astoria,QN71,Queens,24732,3123,12.6,19.1,32.5,39.4,9.8,15.6,2.7
Steinway,QN72,Queens,48235,6737,14,9.3,20.9,62.8,2.5,11.3,2.4
Baisley Park,QN76,Queens,39203,4595,11.7,7.5,12.3,1,68.5,7.1,11.1
park-cemetery-etc-Queens,QN99,Queens,159,48,30.2,31.2,44,45.3,0.0,10.7,0.0
Annadale-Huguenot-Prince's Bay-Eltingville,SI01,StatenIsla,28976,5354,18.5,5.2,7.3,86.8,0.9,3.9,1.0
New Springville-Bloomfield-Travis,SI05,StatenIsla,41936,7233,17.2,10.7,14.9,58.9,4.1,19.4,2.7
Westerleigh,SI07,StatenIsla,24111,3882,16.1,9.3,15.6,71.1,3.2,8.9,1.2
Grymes Hill-Clifton-Fox Hills,SI08,StatenIsla,21707,2538,11.7,22.8,27.6,27.4,32.2,11,1.8
Charleston-Richmond Valley-Tottenville,SI11,StatenIsla,24275,2778,11.4,8.4,9.8,85.5,0.9,3.3,0.6
Mariner's Harbor-Arlington-Port Ivory-Graniteville,SI12,StatenIsla,31907,3169,9.9,21.6,37.3,21.6,28.5,10.1,2.5
Grasmere-Arrochar-Ft. Wadsworth,SI14,StatenIsla,16292,2415,14.8,11.5,14.6,62.8,7.2,12.7,2.7
West New Brighton-New Brighton-St. George,SI22,StatenIsla,32172,4218,13.1,20.1,33,24.3,31.4,5.6,5.7
Todt Hill-Emerson Hill-Heartland Village-Lighthouse,HSI24,StatenIsla,32348,6313,19.5,8.8,10.2,71.2,2.3,14.6,1.7
Oakwood-Oakwood Beach,SI25,StatenIsla,20509,4136,20.2,11.2,14.4,76.7,2,4.2,2.7
Port Richmond,SI28,StatenIsla,19545,2228,11.4,10.1,38.3,37,16.5,6.7,1.5
Rossville-Woodrow,SI32,StatenIsla,22197,3961,17.8,12.2,8.5,86.1,0.1,3.6,1.7
New Brighton-Silver Lake,SI35,StatenIsla,17105,2902,17,9,23.8,60.8,7.3,5.8,2.4
Old Town-Dongan Hills-South Beach,SI36,StatenIsla,25453,3984,15.7,15.1,15.5,67,4.9,10,2.5
Stapleton-Rosebank,SI37,StatenIsla,25347,3520,13.9,18.3,28.4,37.3,20.2,11,3.1
New Dorp-Midland Beach,SI45,StatenIsla,20933,3205,15.3,7.4,15.1,73.9,3.5,6.7,0.8
